artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kizz Daniel,Cough (Odo),Cough (Odo),0u2A4QNAMUyfQbgfVR3HvK,0.891,0.692,5,-6.321,0,0.0483,0.132,0.0939,0.895,109.944,176135,4
Young Jonn,Xtra Cool,Xtra Cool,5F4OfeowSReF93KcH2eUcG,0.843,0.725,6,-7.282,0,0.0539,0.00357,0.0948,0.556,120.0,150000,4
Asake,Mr. Money With The Vibe,Joha,5UwxpuGHkwiojKDaPC5ZNu,0.819,0.817,1,-8.221,0,0.0698,0.201,0.275,0.77,120.039,148000,4
Bella Shmurda,Philo,Philo,5OTKO93FLT25URfam2hZgP,0.956,0.322,0,-13.333,0,0.206,0.00281,0.0927,0.925,111.119,168725,4
Asake,Mr. Money With The Vibe,Organise,2wgvxtggKVzPkl0smF2UzI,0.779,0.79,9,-6.246,0,0.0612,2.24e-05,0.506,0.484,113.064,123717,4
Ayra Starr,Rush,Rush,1rrqJ9QkOBYJlsZgqqwxgB,0.792,0.503,1,-8.044,1,0.0626,0.00057,0.0959,0.381,99.97,185093,4
Asake,Mr. Money With The Vibe,Terminator,5ycsqezujKrwviU3VFhci1,0.804,0.688,0,-6.794,1,0.0531,0.00448,0.0958,0.852,117.032,139487,4
Blaqbonez,BACK IN UNI,BACK IN UNI,1DjjSWom4la3p67sZcBWTN,0.844,0.556,6,-5.531,1,0.301,0.0,0.175,0.65,105.034,150857,4
Asake,Mr. Money With The Vibe,Dull,46gfN72BxmLvACx6Pve4XU,0.645,0.324,7,-11.224,1,0.0302,0.0014,0.547,0.414,115.002,100174,4
Asake,Mr. Money With The Vibe,Nzaza,0VjzaXw81JQJM61pzWwP8b,0.72,0.602,0,-6.797,1,0.07,0.00472,0.509,0.709,93.966,183830,4
Asake,Peace Be Unto You (PBUY),Peace Be Unto You (PBUY),1mJFFeluclL38IwV264lm9,0.808,0.769,7,-7.207,0,0.0833,4.12e-05,0.119,0.685,116.001,153103,4
Asake,Mr. Money With The Vibe,Ototo,0CUJV0Hh512Ns7U2yGflqt,0.805,0.58,0,-7.924,0,0.078,0.000361,0.403,0.886,130.672,156735,5
Asake,Mr. Money With The Vibe,Dupe,4iCUs97QSPyYaFmzDa25Tb,0.75,0.757,0,-7.157,1,0.048,0.0439,0.152,0.44,118.019,162712,4
Black Sherif,The Villain I Never Was,Soja,0rkpKiWmsAs2VApWKJQRuY,0.789,0.508,0,-7.498,0,0.151,0.0,0.0932,0.466,94.991,181557,4
Pheelz,Electricity,Electricity,4hqCqVze2sJqskEQmK2Mb7,0.824,0.72,9,-3.868,1,0.067,0.0,0.101,0.496,110.968,132913,4
Fireboy DML,Playboy,Bandana,2qWwuCVeMjF9mUT0S5Iqvl,0.818,0.605,1,-7.121,1,0.038,0.0116,0.0696,0.366,104.931,178225,4
Peruzzi,Hypertension / Things I Need,Hypertension,5lLwFE3fCAQllnPLsKtFP9,0.844,0.839,6,-6.188,1,0.0478,0.00141,0.0694,0.621,113.933,197895,4
Stainless,Pata Pata (Remix),Pata Pata (Remix),0UeFuD5wYxDx5hXuLxKcwp,0.799,0.656,3,-9.131,0,0.0427,0.000707,0.0899,0.782,104.999,184058,4
Oxlade,KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,2WigMwGJysIh9fRnSJvpjn,0.649,0.655,10,-5.534,0,0.0652,0.0,0.22,0.793,92.9,147581,4
Peruzzi,Hypertension / Things I Need,Things I Need,3Q2hwP99f1IU9DaHcyB1vM,0.822,0.897,0,-5.308,0,0.118,0.0,0.226,0.661,114.964,158609,4
Victony,Outlaw,Soweto,6RbOyNeajWax51NtpO6WT8,0.749,0.663,5,-7.093,0,0.0364,0.000168,0.103,0.593,104.967,148000,4
Wizkid,Bad To Me,Bad To Me,2pUlBBWq8R10ylbBvZJV9j,0.859,0.822,10,-5.005,0,0.0467,0.0144,0.101,0.908,110.045,177170,4
Asake,Mr. Money With The Vibe,Muse,3Nx9nMHMFgkeF8xpVk1Ev0,0.541,0.504,0,-7.068,0,0.111,0.0484,0.221,0.742,130.178,117551,5
Asake,Mr. Money With The Vibe,Reason (feat. Russ),6WavyUNdnJk9SRW7ko9ack,0.608,0.58,0,-8.242,0,0.248,5.1e-06,0.353,0.391,102.116,131765,4
